px,py,pz,v1x,v1y,v1z,v2x,v2y,v2z,hand
0.078276,-0.042947,0.100715,0.891799,0.049805,-0.449683,-0.412712,-0.317689,-0.853664,0
0.077936,-0.042677,0.100981,0.890875,0.039079,-0.452564,-0.409924,-0.360089,-0.838032,0
0.077759,-0.0429,0.100928,0.890787,0.04444,-0.452243,-0.411732,-0.342194,-0.844618,0
0.077585,-0.042984,0.100934,0.890777,0.044934,-0.452214,-0.411678,-0.34163,-0.844873,0
0.07746,-0.043265,0.100831,0.890983,0.049744,-0.451303,-0.412177,-0.328251,-0.849918,0
0.07727,-0.043298,0.100769,0.891227,0.04978,-0.450818,-0.411731,-0.328116,-0.850187,0
0.077083,-0.043414,0.100684,0.891431,0.050279,-0.450358,-0.411096,-0.328405,-0.850382,0
0.076905,-0.043346,0.100675,0.891702,0.045196,-0.450361,-0.40852,-0.348047,-0.843786,0
0.076845,-0.043535,0.100431,0.892786,0.04993,-0.447706,-0.409255,-0.325446,-0.852405,0
0.076696,-0.043666,0.100375,0.892979,0.050053,-0.447306,-0.408903,-0.32513,-0.852695,0
0.076557,-0.043802,0.100361,0.893027,0.050087,-0.447207,-0.408888,-0.32468,-0.852874,0
0.076324,-0.043978,0.100488,0.892119,0.046204,-0.449431,-0.406958,-0.349885,-0.843781,0
0.076202,-0.044149,0.100474,0.892165,0.046632,-0.449296,-0.40682,-0.349328,-0.844078,0
0.076097,-0.044346,0.100445,0.892154,0.047842,-0.449191,-0.406931,-0.346625,-0.845138,0
0.076,-0.044468,0.100417,0.892201,0.047916,-0.449089,-0.406664,-0.347339,-0.844974,0
0.075876,-0.045355,0.100032,0.893398,0.078641,-0.442331,-0.407528,-0.272573,-0.871565,0
0.075766,-0.045624,0.099896,0.893686,0.083138,-0.440923,-0.408445,-0.25604,-0.876137,0
0.075679,-0.045771,0.09982,0.893847,0.083675,-0.440495,-0.408175,-0.254719,-0.876648,0
0.075588,-0.045924,0.099709,0.894084,0.084084,-0.439936,-0.407702,-0.253907,-0.877103,0
0.075504,-0.046146,0.099574,0.894259,0.085255,-0.439355,-0.407288,-0.251912,-0.877871,0
0.075417,-0.045684,0.099706,0.893261,0.055552,-0.446093,-0.404923,-0.331575,-0.852112,0
0.075347,-0.045917,0.099542,0.893426,0.056454,-0.44565,-0.404262,-0.331517,-0.852448,0
0.075247,-0.045942,0.099479,0.89356,0.048012,-0.44637,-0.402418,-0.355114,-0.843773,0
0.075249,-0.046317,0.099206,0.893646,0.058357,-0.444962,-0.40336,-0.330173,-0.853397,0
0.075297,-0.046421,0.098897,0.894818,0.063807,-0.441847,-0.404715,-0.301806,-0.863203,0
0.075248,-0.046484,0.098739,0.895016,0.06415,-0.441396,-0.404462,-0.30046,-0.863791,0
0.075204,-0.046629,0.098549,0.895219,0.066209,-0.440681,-0.404566,-0.29387,-0.866006,0
0.075157,-0.0467,0.098374,0.895376,0.066394,-0.440333,-0.40431,-0.293231,-0.866342,0
0.07508,-0.046815,0.098109,0.895656,0.066147,-0.439802,-0.403417,-0.295472,-0.865997,0
0.075015,-0.046871,0.097849,0.895967,0.064829,-0.439363,-0.402248,-0.300882,-0.864677,0
0.074968,-0.046985,0.097594,0.895983,0.065814,-0.439184,-0.402103,-0.299517,-0.865218,0
0.074954,-0.047134,0.097387,0.895093,0.067971,-0.440669,-0.403672,-0.296192,-0.865632,0
0.074942,-0.047193,0.097042,0.895575,0.071271,-0.439164,-0.403961,-0.283382,-0.869776,0
0.074774,-0.04718,0.096834,0.894899,0.067659,-0.441109,-0.401823,-0.307856,-0.862417,0
0.074679,-0.04705,0.096467,0.895872,0.065306,-0.439487,-0.399706,-0.313502,-0.861366,0
0.074435,-0.046711,0.096118,0.896587,0.061306,-0.438605,-0.397333,-0.326059,-0.857795,0
0.074375,-0.046684,0.095885,0.896585,0.062099,-0.438496,-0.397424,-0.324081,-0.858502,0
0.074389,-0.046572,0.095423,0.898014,0.066681,-0.434885,-0.398296,-0.296685,-0.86795,0
0.074217,-0.046517,0.095195,0.897844,0.06466,-0.435539,-0.396329,-0.312267,-0.863373,0
0.074154,-0.046039,0.094864,0.899252,0.063119,-0.432853,-0.396491,-0.30037,-0.867509,0
0.074098,-0.04608,0.094663,0.899094,0.064264,-0.433012,-0.396295,-0.300703,-0.867484,0
0.073862,-0.046115,0.09467,0.897719,0.062978,-0.436043,-0.395792,-0.319448,-0.860989,0
0.073975,-0.046083,0.094336,0.899101,0.068285,-0.432383,-0.396513,-0.291443,-0.870539,0
0.073833,-0.046025,0.094342,0.898127,0.064075,-0.435044,-0.394726,-0.318553,-0.86181,0
0.073767,-0.045885,0.094276,0.897929,0.061277,-0.435853,-0.394678,-0.326207,-0.858964,0
0.073729,-0.045882,0.094164,0.89783,0.064447,-0.435602,-0.395222,-0.318265,-0.861689,0
0.073767,-0.04571,0.094009,0.898334,0.063531,-0.434695,-0.394115,-0.320605,-0.861328,0
0.073709,-0.045529,0.093908,0.898568,0.063219,-0.434258,-0.393711,-0.320933,-0.86139,0
0.073661,-0.04536,0.093832,0.898719,0.062377,-0.434066,-0.393257,-0.323353,-0.860693,0
0.073585,-0.045296,0.093741,0.899156,0.063633,-0.432976,-0.392478,-0.320415,-0.862145,0
0.073595,-0.045187,0.09371,0.898892,0.063391,-0.433561,-0.39306,-0.320631,-0.8618,0
0.07362,-0.045186,0.093708,0.898597,0.063636,-0.434135,-0.393258,-0.322024,-0.86119,0
0.073745,-0.045143,0.093539,0.899469,0.068182,-0.431633,-0.394926,-0.295981,-0.869729,0
0.073755,-0.04505,0.093476,0.89947,0.068601,-0.431563,-0.394993,-0.294779,-0.870107,0
0.073725,-0.044951,0.093376,0.899932,0.068782,-0.430571,-0.394028,-0.294578,-0.870612,0
0.073725,-0.044857,0.093191,0.900139,0.070406,-0.429876,-0.393929,-0.289657,-0.872307,0
0.073555,-0.044667,0.093211,0.89911,0.064083,-0.433007,-0.391461,-0.324902,-0.860928,0
0.073443,-0.044361,0.093007,0.899636,0.064231,-0.431891,-0.39094,-0.322062,-0.862231,0
0.073371,-0.044098,0.092801,0.899989,0.063935,-0.431198,-0.390295,-0.322351,-0.862415,0
0.073425,-0.043859,0.092458,0.901248,0.067442,-0.428022,-0.391013,-0.29906,-0.870444,0
0.073375,-0.043586,0.092224,0.901713,0.067375,-0.427052,-0.39028,-0.298102,-0.871101,0
0.073326,-0.043975,0.091689,0.903477,0.093058,-0.418414,-0.389779,-0.227754,-0.892301,0
0.073299,-0.042843,0.091828,0.90243,0.06258,-0.426267,-0.387307,-0.315538,-0.866273,0
0.073113,-0.04258,0.09186,0.901839,0.058593,-0.428081,-0.385448,-0.338581,-0.858366,0
0.073328,-0.042321,0.091554,0.903547,0.064499,-0.423608,-0.386827,-0.302442,-0.871145,0
0.073428,-0.042188,0.09148,0.903805,0.066706,-0.422715,-0.386928,-0.294611,-0.87378,0
0.073239,-0.041648,0.091772,0.902722,0.055864,-0.426581,-0.382054,-0.351787,-0.854564,0
0.073407,-0.04209,0.091475,0.904436,0.088785,-0.417268,-0.386761,-0.242119,-0.889828,0
0.073506,-0.041578,0.091639,0.90473,0.087521,-0.416898,-0.38736,-0.23818,-0.89063,0
0.073604,-0.040221,0.092268,0.903315,0.054711,-0.425475,-0.386577,-0.326131,-0.862668,0
0.073767,-0.03973,0.09254,0.903351,0.053366,-0.425569,-0.387721,-0.322631,-0.863471,0
0.074058,-0.03943,0.092625,0.904107,0.055931,-0.42363,-0.389442,-0.30015,-0.870773,0
0.074269,-0.039271,0.092748,0.904392,0.058226,-0.422712,-0.390345,-0.287252,-0.87471,0
0.074414,-0.038961,0.092908,0.904442,0.057395,-0.422718,-0.390887,-0.28537,-0.875084,0
0.074405,-0.038644,0.093202,0.903407,0.05031,-0.425822,-0.389156,-0.320776,-0.863516,0
0.074547,-0.038455,0.093271,0.903433,0.05022,-0.425778,-0.389584,-0.318425,-0.864193,0
0.074659,-0.038308,0.09329,0.903437,0.049129,-0.425897,-0.389466,-0.321224,-0.86321,0
0.074763,-0.038112,0.093271,0.90348,0.048685,-0.425857,-0.389912,-0.319299,-0.863723,0
0.074758,-0.037942,0.093068,0.903878,0.046482,-0.425258,-0.388459,-0.327184,-0.861424,0
0.074729,-0.037748,0.09278,0.904445,0.046072,-0.424095,-0.387446,-0.327286,-0.861841,0
0.074637,-0.037489,0.09242,0.905123,0.045441,-0.422714,-0.386378,-0.326911,-0.862463,0
0.074561,-0.037284,0.091974,0.906112,0.046597,-0.420464,-0.385704,-0.317251,-0.866362,0
0.074391,-0.037087,0.091446,0.90699,0.046826,-0.418542,-0.384122,-0.315512,-0.8677,0
0.074299,-0.036828,0.090886,0.908045,0.047225,-0.416202,-0.383749,-0.304494,-0.871791,0
0.074053,-0.036888,0.090637,0.907233,0.044221,-0.418298,-0.381677,-0.331405,-0.86284,0
0.073755,-0.03672,0.089824,0.908763,0.04395,-0.414991,-0.377979,-0.334777,-0.863167,0
0.073426,-0.036255,0.089394,0.909682,0.033365,-0.413962,-0.374608,-0.3644,-0.852573,0
0.073197,-0.0363,0.088772,0.910322,0.042888,-0.411672,-0.374833,-0.336397,-0.863908,0
0.072934,-0.035993,0.08799,0.912513,0.04996,-0.405985,-0.375722,-0.290024,-0.880181,0
0.072704,-0.03599,0.087619,0.912561,0.048577,-0.406046,-0.374505,-0.299541,-0.877509,0
0.072451,-0.035904,0.08713,0.913421,0.050874,-0.403824,-0.373753,-0.287991,-0.881686,0
0.071965,-0.035629,0.086885,0.91308,0.045963,-0.405182,-0.370809,-0.319824,-0.871902,0
0.071625,-0.035431,0.086496,0.913798,0.044631,-0.403711,-0.369033,-0.32398,-0.871121,0
0.071373,-0.035198,0.086091,0.915111,0.046084,-0.40056,-0.369343,-0.302686,-0.878617,0
0.071047,-0.035048,0.085854,0.915646,0.045398,-0.399414,-0.368437,-0.302596,-0.879028,0
0.070723,-0.034948,0.085679,0.916187,0.044679,-0.398252,-0.36741,-0.3032,-0.87925,0
0.070404,-0.034923,0.08556,0.916681,0.045266,-0.397047,-0.366787,-0.299092,-0.880915,0
0.070076,-0.034892,0.085556,0.917137,0.045518,-0.395965,-0.366344,-0.295085,-0.882449,0
0.069869,-0.035083,0.085662,0.917426,0.048277,-0.394966,-0.367179,-0.27977,-0.887078,0
0.069517,-0.035241,0.08603,0.916615,0.045424,-0.397182,-0.365905,-0.304869,-0.8793,0
0.069293,-0.035447,0.086391,0.916443,0.043925,-0.397748,-0.365823,-0.310905,-0.877218,0
0.069054,-0.035548,0.08686,0.916245,0.037499,-0.398859,-0.365372,-0.330127,-0.870356,0
0.068844,-0.035858,0.087479,0.915282,0.034578,-0.401327,-0.365615,-0.346858,-0.863722,0
0.068736,-0.036522,0.087886,0.914611,0.043852,-0.40195,-0.368082,-0.32112,-0.872581,0
0.068551,-0.036985,0.088346,0.914229,0.045349,-0.402653,-0.368973,-0.317526,-0.873519,0
0.068359,-0.037396,0.088798,0.913728,0.043979,-0.403938,-0.369143,-0.325599,-0.87047,0
0.068118,-0.037876,0.089125,0.913585,0.04487,-0.404165,-0.369327,-0.32438,-0.870848,0
0.067805,-0.038556,0.089334,0.913427,0.049008,-0.404041,-0.369454,-0.316628,-0.873642,0
0.067571,-0.039096,0.0893,0.914362,0.053826,-0.401304,-0.37011,-0.290817,-0.882295,0
0.067204,-0.039774,0.089248,0.914653,0.056359,-0.400292,-0.368881,-0.288647,-0.883521,0
0.066814,-0.040562,0.089028,0.915164,0.058949,-0.398747,-0.366178,-0.291915,-0.883572,0
0.066372,-0.041349,0.088708,0.915833,0.061151,-0.396876,-0.363176,-0.29554,-0.883606,0
0.065795,-0.041699,0.08839,0.916508,0.054315,-0.396312,-0.358179,-0.329689,-0.873506,0
0.06548,-0.04309,0.087916,0.916838,0.07008,-0.39306,-0.356803,-0.297951,-0.885391,0
0.06507,-0.043736,0.087489,0.918006,0.0748,-0.389448,-0.356015,-0.277163,-0.892431,0
0.064673,-0.044337,0.087099,0.918593,0.077823,-0.387466,-0.3536,-0.276025,-0.893744,0
0.06422,-0.044882,0.086985,0.918158,0.079016,-0.388256,-0.351464,-0.289966,-0.890164,0
0.0638,-0.04516,0.086949,0.918102,0.07867,-0.388459,-0.351041,-0.293625,-0.889131,0
0.063517,-0.045312,0.08691,0.918438,0.079533,-0.387486,-0.35158,-0.284792,-0.891788,0
0.063079,-0.045138,0.087067,0.917826,0.074289,-0.389969,-0.35139,-0.305047,-0.885139,0
0.062899,-0.045159,0.087057,0.91834,0.075819,-0.388461,-0.354138,-0.280874,-0.892018,0
0.062496,-0.045236,0.087213,0.9171,0.072754,-0.391961,-0.354507,-0.300897,-0.885317,0
0.062158,-0.045391,0.087105,0.916767,0.072402,-0.392806,-0.355327,-0.30134,-0.884837,0
0.061905,-0.045645,0.08667,0.917516,0.076878,-0.390198,-0.357276,-0.271646,-0.893623,0
0.061357,-0.046172,0.086211,0.916971,0.080809,-0.390685,-0.356318,-0.274591,-0.893105,0
0.06078,-0.046243,0.085311,0.917681,0.081206,-0.38893,-0.354364,-0.275419,-0.893628,0
0.059963,-0.045988,0.084083,0.918573,0.076085,-0.387858,-0.349251,-0.303204,-0.886618,0
0.059242,-0.046192,0.082489,0.920248,0.080985,-0.382864,-0.345262,-0.292543,-0.891747,0
0.058369,-0.046067,0.08059,0.922631,0.083933,-0.376441,-0.340802,-0.279552,-0.897611,0
