px,py,pz,v1x,v1y,v1z,v2x,v2y,v2z,hand
0.109026,-0.153925,0.034983,0.906292,0.24711,-0.342886,-0.284549,-0.243129,-0.927319,0
0.108568,-0.154125,0.034175,0.906671,0.248254,-0.341053,-0.281297,-0.246682,-0.927373,0
0.107983,-0.154103,0.033297,0.907557,0.248007,-0.338869,-0.277653,-0.251004,-0.927311,0
0.107535,-0.154434,0.032347,0.907916,0.250175,-0.336304,-0.274268,-0.252147,-0.928008,0
0.107106,-0.155025,0.03127,0.908028,0.25313,-0.333783,-0.269785,-0.25619,-0.928215,0
0.106686,-0.155713,0.030185,0.908338,0.257782,-0.329348,-0.265926,-0.25182,-0.930521,0
0.10633,-0.156597,0.029079,0.907749,0.262624,-0.327139,-0.261712,-0.254942,-0.930866,0
0.106007,-0.157652,0.027893,0.907712,0.26959,-0.321526,-0.257544,-0.246982,-0.934169,0
0.105722,-0.158845,0.026583,0.907743,0.277055,-0.315028,-0.253545,-0.235961,-0.938103,0
0.10535,-0.159919,0.02528,0.90765,0.283432,-0.309578,-0.24854,-0.231422,-0.94057,0
0.104879,-0.160881,0.023822,0.906487,0.288213,-0.30857,-0.2409,-0.247165,-0.93855,0
0.104409,-0.161808,0.02233,0.906482,0.293509,-0.30355,-0.234754,-0.247228,-0.94009,0
0.103825,-0.162021,0.021317,0.910343,0.298064,-0.287111,-0.23462,-0.1998,-0.951332,0
0.103475,-0.163031,0.019753,0.91127,0.305407,-0.27625,-0.22882,-0.182218,-0.956263,0
0.102691,-0.163497,0.01828,0.912097,0.307129,-0.27157,-0.221491,-0.188263,-0.956817,0
0.101951,-0.164852,0.016332,0.907828,0.311561,-0.280674,-0.20724,-0.248535,-0.946194,0
0.101209,-0.165287,0.015121,0.908712,0.313428,-0.27569,-0.201592,-0.248807,-0.947341,0
0.100624,-0.165448,0.014558,0.913297,0.316444,-0.256419,-0.204061,-0.18934,-0.960474,0
0.099879,-0.166501,0.013159,0.91027,0.320101,-0.262572,-0.193869,-0.23082,-0.953487,0
0.099022,-0.166589,0.012686,0.912076,0.318364,-0.258383,-0.192637,-0.223566,-0.955463,0
0.09862,-0.167043,0.012267,0.915095,0.32124,-0.243735,-0.19398,-0.179215,-0.964497,0
0.09773,-0.167369,0.011672,0.908238,0.32245,-0.266701,-0.179206,-0.276222,-0.944239,0
0.097352,-0.169486,0.010666,0.910042,0.330447,-0.250256,-0.181089,-0.226134,-0.957115,0
0.096588,-0.169689,0.010671,0.912934,0.329384,-0.240951,-0.183457,-0.196164,-0.963257,0
0.095999,-0.171177,0.009854,0.907738,0.334406,-0.253345,-0.174091,-0.24918,-0.952681,0
0.095499,-0.171914,0.00953,0.907356,0.341111,-0.245659,-0.170534,-0.235448,-0.956809,0
0.094701,-0.172539,0.009004,0.906135,0.342194,-0.24864,-0.164976,-0.255354,-0.952668,0
0.094123,-0.173505,0.008461,0.910558,0.343981,-0.229261,-0.166453,-0.20256,-0.96502,0
0.093382,-0.174285,0.007787,0.910395,0.346966,-0.225377,-0.160326,-0.206322,-0.96526,0
0.092562,-0.175204,0.007031,0.908147,0.35183,-0.226903,-0.151237,-0.229683,-0.961443,0
0.09184,-0.176984,0.005775,0.902752,0.36066,-0.23444,-0.136948,-0.275678,-0.951444,0
0.090849,-0.177345,0.005378,0.902543,0.360355,-0.235711,-0.129272,-0.295396,-0.946589,0
0.089943,-0.177917,0.005031,0.900363,0.361496,-0.242213,-0.119312,-0.330209,-0.936337,0
0.089206,-0.178833,0.00462,0.901362,0.365268,-0.23265,-0.112769,-0.320717,-0.940438,0
0.088532,-0.179786,0.00442,0.901156,0.368984,-0.227529,-0.105577,-0.322253,-0.940748,0
0.087946,-0.180922,0.004625,0.90063,0.372565,-0.223745,-0.100457,-0.322426,-0.941249,0
0.087411,-0.181797,0.005214,0.899526,0.374799,-0.224451,-0.094949,-0.333766,-0.937862,0
0.087108,-0.182925,0.006101,0.904429,0.37491,-0.203595,-0.097923,-0.282052,-0.954389,0
0.086874,-0.18431,0.007393,0.903331,0.379578,-0.199784,-0.096447,-0.274096,-0.956854,0
0.086699,-0.185709,0.009233,0.896471,0.387143,-0.215544,-0.091004,-0.315209,-0.944649,0
0.086413,-0.18651,0.011779,0.894548,0.386737,-0.224093,-0.091882,-0.331545,-0.938955,0
0.086386,-0.187642,0.014757,0.89319,0.387877,-0.227514,-0.096094,-0.329624,-0.939209,0
0.086554,-0.188879,0.018227,0.891935,0.390023,-0.228767,-0.103051,-0.317282,-0.942715,0
0.086813,-0.190084,0.022405,0.891459,0.391824,-0.227539,-0.114079,-0.291913,-0.949617,0
0.087232,-0.191339,0.027077,0.888492,0.392854,-0.237167,-0.123479,-0.293092,-0.948077,0
0.087627,-0.191737,0.033084,0.891267,0.388979,-0.233107,-0.143647,-0.245402,-0.95872,0
0.088455,-0.19358,0.038663,0.882699,0.39192,-0.25931,-0.151766,-0.284489,-0.94659,0
0.089488,-0.194821,0.045604,0.879031,0.391784,-0.27168,-0.17071,-0.273416,-0.946627,0
0.090925,-0.196147,0.053365,0.872569,0.391071,-0.292723,-0.191545,-0.277335,-0.941486,0
0.092767,-0.197536,0.062056,0.865122,0.390516,-0.31474,-0.216923,-0.274472,-0.936808,0
0.094963,-0.198662,0.071632,0.856405,0.388716,-0.33981,-0.24573,-0.271964,-0.930405,0
0.097916,-0.199723,0.082209,0.850667,0.391407,-0.350949,-0.285745,-0.216095,-0.933624,0
0.101006,-0.200266,0.093504,0.832156,0.381085,-0.402852,-0.316801,-0.269544,-0.909386,0
0.104899,-0.200856,0.105338,0.816412,0.378423,-0.436196,-0.357568,-0.261861,-0.896423,0
0.109307,-0.200845,0.117565,0.801583,0.376563,-0.464397,-0.40346,-0.232535,-0.884956,0
0.114024,-0.200699,0.129834,0.775763,0.355971,-0.521034,-0.440188,-0.286345,-0.851023,0
0.119348,-0.200226,0.141959,0.752838,0.347492,-0.559003,-0.482423,-0.286457,-0.827774,0
0.125046,-0.198932,0.154016,0.726789,0.321326,-0.607064,-0.521784,-0.316474,-0.792203,0
0.131147,-0.19844,0.165224,0.704522,0.344742,-0.620324,-0.567777,-0.250597,-0.784111,0
0.137495,-0.19732,0.175974,0.68199,0.362817,-0.635023,-0.610565,-0.195542,-0.767446,0
0.143899,-0.195633,0.186502,0.653797,0.356317,-0.667524,-0.648124,-0.19156,-0.737048,0
0.15035,-0.193965,0.19629,0.61847,0.310221,-0.721982,-0.675315,-0.259965,-0.690194,0
0.157233,-0.191949,0.205323,0.593093,0.338632,-0.730458,-0.716165,-0.192672,-0.670809,0
0.163796,-0.190856,0.213142,0.556969,0.301325,-0.773944,-0.738109,-0.247631,-0.627593,0
0.170443,-0.188857,0.220254,0.530913,0.334983,-0.778407,-0.772207,-0.187097,-0.6072,0
0.176388,-0.187205,0.226423,0.497048,0.283086,-0.820247,-0.788255,-0.247884,-0.563212,0
0.18193,-0.186268,0.231096,0.471306,0.303653,-0.828049,-0.808771,-0.225689,-0.543096,0
0.187066,-0.184423,0.235269,0.449512,0.327734,-0.830981,-0.830452,-0.189375,-0.523914,0
0.190981,-0.183049,0.238355,0.428137,0.304153,-0.850993,-0.839797,-0.213942,-0.498969,0
0.194031,-0.181911,0.240274,0.412953,0.302559,-0.859027,-0.848836,-0.213974,-0.483417,0
0.196207,-0.180748,0.241138,0.406725,0.350996,-0.843431,-0.86086,-0.161761,-0.482446,0
0.197118,-0.180176,0.240991,0.402021,0.360972,-0.841474,-0.864038,-0.154572,-0.479109,0
0.19707,-0.179293,0.239988,0.395453,0.331725,-0.85649,-0.864052,-0.181892,-0.469392,0
0.195638,-0.178769,0.238026,0.400386,0.30398,-0.864458,-0.857147,-0.209339,-0.470612,0
0.193358,-0.177964,0.235081,0.407216,0.282414,-0.868572,-0.852484,-0.223779,-0.472435,0
0.190136,-0.177923,0.230866,0.420267,0.290934,-0.859496,-0.845262,-0.218967,-0.487427,0
0.186047,-0.178114,0.225464,0.43538,0.298454,-0.849335,-0.835652,-0.216946,-0.5046,0
0.181049,-0.177809,0.219344,0.453626,0.301485,-0.838648,-0.825589,-0.212207,-0.522848,0
0.175254,-0.177202,0.212169,0.475065,0.292744,-0.829828,-0.811405,-0.219171,-0.541836,0
0.168799,-0.176511,0.20406,0.50069,0.294438,-0.814012,-0.795581,-0.214046,-0.566776,0
0.161885,-0.17568,0.195027,0.530574,0.328994,-0.781188,-0.78225,-0.164902,-0.600743,0
0.154437,-0.174635,0.185039,0.56014,0.32837,-0.760537,-0.762453,-0.154602,-0.628303,0
0.146332,-0.173581,0.174204,0.588086,0.282072,-0.758017,-0.732079,-0.212772,-0.647139,0
0.138209,-0.172461,0.162096,0.620704,0.285754,-0.730118,-0.707315,-0.197696,-0.678692,0
0.129905,-0.172023,0.148436,0.650438,0.250994,-0.716891,-0.667857,-0.260581,-0.697183,0
0.121382,-0.171782,0.132927,0.687896,0.26637,-0.675163,-0.631561,-0.238731,-0.737657,0
0.111953,-0.171906,0.114805,0.723828,0.238662,-0.64739,-0.56837,-0.325718,-0.755555,0
0.102269,-0.172174,0.093159,0.768017,0.248965,-0.590057,-0.489407,-0.366105,-0.791484,0
0.092664,-0.171845,0.067819,0.814367,0.270247,-0.513588,-0.381052,-0.418489,-0.824419,0
0.08431,-0.17027,0.039554,0.864124,0.31915,-0.389145,-0.262543,-0.373814,-0.88957,0
0.078464,-0.166559,0.009764,0.895196,0.352418,-0.272809,-0.109278,-0.419871,-0.900981,0
0.077618,-0.164689,-0.009356,0.902752,0.385406,-0.191054,-0.023863,-0.398591,-0.916818,0
0.079453,-0.167255,-0.00272,0.895712,0.383055,-0.225763,-0.054305,-0.409701,-0.910602,0
0.082267,-0.170216,0.003589,0.887313,0.391201,-0.244209,-0.078999,-0.392778,-0.916234,0
0.085577,-0.17297,0.01048,0.875626,0.400071,-0.270596,-0.103578,-0.391675,-0.914255,0
0.089562,-0.175672,0.017155,0.861962,0.413186,-0.293768,-0.123762,-0.390428,-0.912277,0
0.09368,-0.177537,0.024355,0.850135,0.426287,-0.309111,-0.145428,-0.37412,-0.915906,0
0.097479,-0.177732,0.03253,0.829826,0.422615,-0.364397,-0.155429,-0.452122,-0.878309,0
0.100997,-0.176571,0.041534,0.82365,0.418386,-0.382823,-0.18248,-0.443621,-0.87744,0
0.104036,-0.173847,0.051343,0.823322,0.40807,-0.394486,-0.218365,-0.413799,-0.883791,0
0.106773,-0.169761,0.061677,0.822253,0.388435,-0.415954,-0.252281,-0.406368,-0.878191,0
0.109022,-0.163263,0.073427,0.839215,0.38427,-0.384779,-0.312161,-0.238967,-0.919484,0
0.111419,-0.15773,0.083773,0.831104,0.34985,-0.432286,-0.340664,-0.294127,-0.892993,0
0.114677,-0.154002,0.091872,0.825567,0.327915,-0.45925,-0.365566,-0.309194,-0.87793,0
0.117032,-0.148744,0.100858,0.817045,0.287631,-0.499706,-0.39112,-0.360292,-0.846885,0
0.119687,-0.144253,0.108258,0.812395,0.260675,-0.521597,-0.410309,-0.380034,-0.828988,0
0.121911,-0.140696,0.11501,0.810791,0.261271,-0.52379,-0.443549,-0.309672,-0.841051,0
0.124401,-0.137533,0.120249,0.805231,0.243209,-0.540788,-0.457918,-0.324354,-0.827711,0
0.126458,-0.135162,0.124917,0.798732,0.223108,-0.558794,-0.469765,-0.349069,-0.810846,0
0.128474,-0.133371,0.128661,0.794284,0.21909,-0.566668,-0.483505,-0.336824,-0.807943,0
0.130156,-0.131777,0.132128,0.786555,0.190191,-0.587501,-0.489776,-0.387301,-0.7811,0
0.131243,-0.129433,0.135201,0.787704,0.215929,-0.576972,-0.510063,-0.29663,-0.80737,0
0.132554,-0.129706,0.135887,0.781034,0.185643,-0.596257,-0.505129,-0.373607,-0.777986,0
0.133269,-0.12925,0.136789,0.777469,0.176597,-0.603618,-0.505528,-0.395486,-0.766832,0
0.133639,-0.128902,0.136879,0.776208,0.17574,-0.605489,-0.506225,-0.398735,-0.764687,0
0.133647,-0.128617,0.136287,0.776301,0.176125,-0.605257,-0.504899,-0.401134,-0.764309,0
0.133356,-0.128602,0.134995,0.77724,0.175526,-0.604226,-0.500163,-0.410282,-0.762565,0
0.132847,-0.128724,0.133079,0.780401,0.191009,-0.595391,-0.498226,-0.385401,-0.776684,0
0.132011,-0.128844,0.130766,0.783335,0.195379,-0.590095,-0.490767,-0.388224,-0.780019,0
0.130814,-0.128665,0.128209,0.785593,0.184986,-0.590443,-0.478392,-0.423603,-0.769221,0
0.129364,-0.128336,0.125167,0.791287,0.194529,-0.579675,-0.470398,-0.411993,-0.780376,0
0.127583,-0.12755,0.122109,0.796624,0.18993,-0.573861,-0.460849,-0.423507,-0.77991,0
0.125656,-0.126477,0.118926,0.803264,0.191416,-0.564028,-0.453736,-0.416817,-0.787647,0
0.123568,-0.124939,0.115896,0.809735,0.185616,-0.556665,-0.447427,-0.418473,-0.790373,0
0.121428,-0.123306,0.112951,0.816284,0.183385,-0.547768,-0.443265,-0.409192,-0.797545,0
